Best hyperparameters: {'node1': 21, 'node2': 7, 'LR': 9.05945733700551e-05, 'DROPOUT': 0.22914679037383173, 'batch_size': 64, 'weight_decay': 0.0004974777308695285, 'EARLY_STOP': 82}
Best trial value: 6.866953492164612

All trials:
Trial 26: {'node1': 17, 'node2': 8, 'LR': 5.16965823074782e-05, 'DROPOUT': 0.24377874535045968, 'batch_size': 64, 'weight_decay': 0.0006463837948579781, 'EARLY_STOP': 83}, Value: 7.285616993904114
Trial 27: {'node1': 14, 'node2': 9, 'LR': 5.126568707823921e-05, 'DROPOUT': 0.2447363947424783, 'batch_size': 64, 'weight_decay': 0.0005599923625387456, 'EARLY_STOP': 88}, Value: 7.014091074466705
Trial 28: {'node1': 12, 'node2': 9, 'LR': 5.357044030146991e-05, 'DROPOUT': 0.20426108005218827, 'batch_size': 61, 'weight_decay': 0.0004673718048545503, 'EARLY_STOP': 106}, Value: 8.953797578811646
Trial 29: {'node1': 14, 'node2': 10, 'LR': 3.294222941210251e-05, 'DROPOUT': 0.2852283910465579, 'batch_size': 54, 'weight_decay': 0.00023121524925168516, 'EARLY_STOP': 37}, Value: 8.546691060066223
Trial 30: {'node1': 14, 'node2': 9, 'LR': 9.504632282940885e-05, 'DROPOUT': 0.19390805806089068, 'batch_size': 64, 'weight_decay': 0.0002486290378640848, 'EARLY_STOP': 89}, Value: 7.301965296268463
Trial 31: {'node1': 18, 'node2': 8, 'LR': 4.473570394187704e-05, 'DROPOUT': 0.23622692200561216, 'batch_size': 64, 'weight_decay': 0.0006258378219298695, 'EARLY_STOP': 60}, Value: 7.40974959731102
Trial 32: {'node1': 18, 'node2': 8, 'LR': 6.413207637027733e-05, 'DROPOUT': 0.2728907415114269, 'batch_size': 59, 'weight_decay': 0.0007133787533440873, 'EARLY_STOP': 93}, Value: 8.714975357055664
Trial 33: {'node1': 15, 'node2': 7, 'LR': 2.2887342740586285e-05, 'DROPOUT': 0.16915860287055082, 'batch_size': 61, 'weight_decay': 0.0004850052708503024, 'EARLY_STOP': 82}, Value: 9.197896957397461
Trial 34: {'node1': 22, 'node2': 8, 'LR': 4.0649156778480975e-05, 'DROPOUT': 0.225444607222535, 'batch_size': 57, 'weight_decay': 0.00040658860271279655, 'EARLY_STOP': 113}, Value: 8.970641255378723
Trial 35: {'node1': 19, 'node2': 9, 'LR': 6.627845756511476e-05, 'DROPOUT': 0.2867969565459263, 'batch_size': 55, 'weight_decay': 0.000572209579058572, 'EARLY_STOP': 68}, Value: 9.00831413269043
