Best hyperparameters: {'node1': 13, 'node2': 4, 'LR': 1.6399771164889416e-05, 'DROPOUT': 0.19616048495645938, 'batch_size': 64, 'weight_decay': 0.00098542294016685, 'EARLY_STOP': 39}
Best trial value: 6.949471473693848

All trials:
Trial 26: {'node1': 27, 'node2': 9, 'LR': 1.1909941494871085e-05, 'DROPOUT': 0.4987499291073457, 'batch_size': 49, 'weight_decay': 0.0005330339722609377, 'EARLY_STOP': 102}, Value: 7.299671459197998
Trial 27: {'node1': 27, 'node2': 9, 'LR': 1.2154515124844694e-05, 'DROPOUT': 0.4958647122029961, 'batch_size': 32, 'weight_decay': 0.0002592780190763152, 'EARLY_STOP': 105}, Value: 7.9524171352386475
Trial 28: {'node1': 32, 'node2': 10, 'LR': 1.9228923713426867e-05, 'DROPOUT': 0.44434629352642296, 'batch_size': 48, 'weight_decay': 0.0001276034994094827, 'EARLY_STOP': 129}, Value: 7.405525255203247
Trial 29: {'node1': 25, 'node2': 9, 'LR': 3.345807291401259e-06, 'DROPOUT': 0.49654897876697357, 'batch_size': 57, 'weight_decay': 0.0005344989047075512, 'EARLY_STOP': 97}, Value: 8.838067531585693
Trial 30: {'node1': 28, 'node2': 7, 'LR': 2.3218328880496716e-05, 'DROPOUT': 0.4741040177819572, 'batch_size': 44, 'weight_decay': 7.943302581367009e-05, 'EARLY_STOP': 79}, Value: 8.633174753189087
Trial 31: {'node1': 34, 'node2': 8, 'LR': 3.764604742297751e-05, 'DROPOUT': 0.4998252604559257, 'batch_size': 60, 'weight_decay': 0.0003943296557622401, 'EARLY_STOP': 73}, Value: 8.938924431800842
Trial 32: {'node1': 29, 'node2': 9, 'LR': 1.501785606711852e-05, 'DROPOUT': 0.3910207758896862, 'batch_size': 51, 'weight_decay': 0.0009876532558302212, 'EARLY_STOP': 86}, Value: 8.546560883522034
Trial 33: {'node1': 36, 'node2': 6, 'LR': 2.546475672740201e-05, 'DROPOUT': 0.4478740511596095, 'batch_size': 61, 'weight_decay': 0.0006305089885204888, 'EARLY_STOP': 143}, Value: 8.8833167552948
Trial 34: {'node1': 21, 'node2': 8, 'LR': 9.98471416224431e-06, 'DROPOUT': 0.4672502543223578, 'batch_size': 54, 'weight_decay': 3.0495629475146936e-05, 'EARLY_STOP': 93}, Value: 8.544904947280884
Trial 35: {'node1': 32, 'node2': 10, 'LR': 6.246783422163911e-05, 'DROPOUT': 0.4269484549260105, 'batch_size': 58, 'weight_decay': 2.240235727959872e-05, 'EARLY_STOP': 53}, Value: 8.904481768608093
Trial 36: {'node1': 26, 'node2': 7, 'LR': 8.789873679709174e-06, 'DROPOUT': 0.47860279150575824, 'batch_size': 62, 'weight_decay': 0.00047692394264353617, 'EARLY_STOP': 195}, Value: 8.636068224906921
Trial 37: {'node1': 35, 'node2': 9, 'LR': 1.6482892530056775e-05, 'DROPOUT': 0.22362435238401385, 'batch_size': 38, 'weight_decay': 1.918582392690351e-05, 'EARLY_STOP': 110}, Value: 9.4728391567866
Trial 38: {'node1': 38, 'node2': 6, 'LR': 4.578214281742334e-06, 'DROPOUT': 0.38413159586228357, 'batch_size': 24, 'weight_decay': 0.0002703496895918584, 'EARLY_STOP': 64}, Value: 7.971352762646145
Trial 39: {'node1': 15, 'node2': 4, 'LR': 5.576628181036348e-05, 'DROPOUT': 0.15585649844412272, 'batch_size': 49, 'weight_decay': 0.00015211559049775028, 'EARLY_STOP': 85}, Value: 7.119609546661377
Trial 40: {'node1': 13, 'node2': 4, 'LR': 2.144128021473488e-05, 'DROPOUT': 0.13828969707172942, 'batch_size': 35, 'weight_decay': 0.0001597428232123192, 'EARLY_STOP': 139}, Value: 8.483744621276855
Trial 41: {'node1': 17, 'node2': 4, 'LR': 7.082076003191032e-05, 'DROPOUT': 0.030760012049873664, 'batch_size': 49, 'weight_decay': 0.0006857637090720221, 'EARLY_STOP': 87}, Value: 7.261004018783569
Trial 42: {'node1': 15, 'node2': 4, 'LR': 3.6958276563021156e-05, 'DROPOUT': 0.04704649058089477, 'batch_size': 49, 'weight_decay': 3.938401309214912e-05, 'EARLY_STOP': 82}, Value: 7.194525742530823
Trial 43: {'node1': 15, 'node2': 4, 'LR': 3.887977568512334e-05, 'DROPOUT': 0.017163473626720275, 'batch_size': 46, 'weight_decay': 3.8284913404679e-05, 'EARLY_STOP': 79}, Value: 8.772230243682861
Trial 44: {'node1': 9, 'node2': 4, 'LR': 5.2807822359784976e-05, 'DROPOUT': 0.07217795603079391, 'batch_size': 41, 'weight_decay': 1.84255313340742e-05, 'EARLY_STOP': 88}, Value: 8.736990308761596
Trial 45: {'node1': 18, 'node2': 5, 'LR': 6.812184281644655e-05, 'DROPOUT': 0.05326474740889921, 'batch_size': 43, 'weight_decay': 6.549864874627766e-05, 'EARLY_STOP': 118}, Value: 8.558250045776367
Trial 46: {'node1': 13, 'node2': 3, 'LR': 3.9652503244764056e-05, 'DROPOUT': 0.11117487519220548, 'batch_size': 54, 'weight_decay': 1.4943459610365917e-05, 'EARLY_STOP': 74}, Value: 8.827581763267517
Trial 47: {'node1': 18, 'node2': 4, 'LR': 3.1553672764485974e-05, 'DROPOUT': 0.004663654017464176, 'batch_size': 50, 'weight_decay': 3.808305584883148e-05, 'EARLY_STOP': 51}, Value: 8.532866597175598
Trial 48: {'node1': 14, 'node2': 5, 'LR': 8.102175160721411e-05, 'DROPOUT': 0.03996994497884451, 'batch_size': 39, 'weight_decay': 2.7346529563626158e-05, 'EARLY_STOP': 160}, Value: 7.4460296630859375
Trial 49: {'node1': 10, 'node2': 4, 'LR': 5.3720608390142255e-05, 'DROPOUT': 0.16199166692241734, 'batch_size': 45, 'weight_decay': 0.00010019364428354573, 'EARLY_STOP': 91}, Value: 8.818130683898925
Trial 50: {'node1': 12, 'node2': 3, 'LR': 3.5241582724779356e-05, 'DROPOUT': 0.10243397365120234, 'batch_size': 53, 'weight_decay': 1.051556677363212e-05, 'EARLY_STOP': 25}, Value: 8.919057011604309
Trial 51: {'node1': 16, 'node2': 5, 'LR': 5.3951252680799806e-05, 'DROPOUT': 0.034223864480450325, 'batch_size': 49, 'weight_decay': 0.0006874889927126705, 'EARLY_STOP': 106}, Value: 7.202401971817016
Trial 52: {'node1': 16, 'node2': 5, 'LR': 5.55459596176781e-05, 'DROPOUT': 0.06268127902126625, 'batch_size': 49, 'weight_decay': 0.0007520300413795796, 'EARLY_STOP': 110}, Value: 7.3341625273227695
Trial 53: {'node1': 19, 'node2': 5, 'LR': 7.537931198577764e-05, 'DROPOUT': 0.04013123293952558, 'batch_size': 47, 'weight_decay': 5.6534227650247636e-05, 'EARLY_STOP': 82}, Value: 9.312763214111328
Trial 54: {'node1': 16, 'node2': 4, 'LR': 5.238998072821049e-05, 'DROPOUT': 0.18985394052039922, 'batch_size': 36, 'weight_decay': 0.0006392568408967957, 'EARLY_STOP': 129}, Value: 8.577411969502768
Trial 55: {'node1': 22, 'node2': 3, 'LR': 7.436058336124614e-05, 'DROPOUT': 0.09176405694691828, 'batch_size': 57, 'weight_decay': 0.0001336231605398461, 'EARLY_STOP': 96}, Value: 9.175494909286499
Trial 56: {'node1': 17, 'node2': 4, 'LR': 4.341735779070773e-05, 'DROPOUT': 0.12937532488445222, 'batch_size': 52, 'weight_decay': 0.00043609738214309384, 'EARLY_STOP': 60}, Value: 8.648648500442505
Trial 57: {'node1': 11, 'node2': 5, 'LR': 2.741793037651946e-05, 'DROPOUT': 0.02922181031422764, 'batch_size': 42, 'weight_decay': 0.00020767990535424101, 'EARLY_STOP': 69}, Value: 8.580298805236817
Trial 58: {'node1': 14, 'node2': 4, 'LR': 4.473150805727622e-05, 'DROPOUT': 0.08476960917768309, 'batch_size': 61, 'weight_decay': 0.0008682888173224986, 'EARLY_STOP': 44}, Value: 9.277592658996582
Trial 59: {'node1': 20, 'node2': 3, 'LR': 3.410052684097239e-05, 'DROPOUT': 0.005357699151735479, 'batch_size': 56, 'weight_decay': 7.993594378699914e-05, 'EARLY_STOP': 103}, Value: 8.886367321014404
Trial 60: {'node1': 8, 'node2': 6, 'LR': 6.046781071660072e-05, 'DROPOUT': 0.233764505302643, 'batch_size': 50, 'weight_decay': 0.0003035266984583468, 'EARLY_STOP': 73}, Value: 8.52935540676117
Trial 61: {'node1': 24, 'node2': 9, 'LR': 1.2472524350390917e-05, 'DROPOUT': 0.061626920886786674, 'batch_size': 48, 'weight_decay': 0.0006040228452843332, 'EARLY_STOP': 102}, Value: 7.28744683265686
Trial 62: {'node1': 15, 'node2': 4, 'LR': 2.6372656264124953e-05, 'DROPOUT': 0.05132915388166617, 'batch_size': 46, 'weight_decay': 0.0007294856482526615, 'EARLY_STOP': 116}, Value: 8.917988109588624
